no,title,author,category,format,access_type,pages,file_size,description,isbn,year,publisher,cover_image,file_url,tags,total_copies,available_copies,is_featured,is_popular,is_new
1,Sunnah Nabi,Terang Literasi,Edukasi,PDF,Akses Terbuka,,,"Buku Sunnah Nabi adalah buku dengan kategori Edukasi. Buku ini ditulis oleh Terang Literasi. Buku ini dapat diunduh, dibaca dan didiskusikan bersama di Terang Literasi.",,2026,Terang Literasi,https://drive.google.com/uc?export=download&id=16kYAHrh0cDNiHVaT5mnYUWe_7Tt2wyNP,https://drive.google.com/uc?export=download&id=1XybhhzcHlBIpsJK3WrWbgZuBSyojdcKF,,1,1,FALSE,FALSE,TRUE
2,40 Bait-Bait Pantun Seputar Aqidah Islam EBS,Terang Literasi,Edukasi,PDF,Akses Terbuka,,,"Buku 40 Bait-Bait Pantun Seputar Aqidah Islam EBS adalah buku dengan kategori Edukasi. Buku ini ditulis oleh Terang Literasi. Buku ini dapat diunduh, dibaca dan didiskusikan bersama di Terang Literasi.",,2026,Terang Literasi,https://drive.google.com/uc?export=download&id=118azH9ezlVUqUNKKPWr0HhuIuS6dZtTZ,https://drive.google.com/uc?export=download&id=12rP23IccaqL9SSJHVkLTKnTzb9i28iwK,,1,1,FALSE,FALSE,TRUE
3,50 Pembahasan Dan Faedah Seputar Iktikaf EBS,Terang Literasi,Edukasi,PDF,Akses Terbuka,,,"Buku 50 Pembahasan Dan Faedah Seputar Iktikaf EBS adalah buku dengan kategori Edukasi. Buku ini ditulis oleh Terang Literasi. Buku ini dapat diunduh, dibaca dan didiskusikan bersama di Terang Literasi.",,2026,Terang Literasi,https://drive.google.com/uc?export=download&id=17nLzZCDbBx7KzR7ZZ8a1MWxdBMHkhsIz,https://drive.google.com/uc?export=download&id=1AN6hQgxtf2cUIWSXAhOj1BPCDbhgM-Pg,,1,1,FALSE,FALSE,TRUE
4,50 Hadits Pilihan Untuk Anak-Anak Seri-2-EBS,Terang Literasi,Edukasi,PDF,Akses Terbuka,,,"Buku 50 Hadits Pilihan Untuk Anak-Anak Seri-2-EBS adalah buku dengan kategori Edukasi. Buku ini ditulis oleh Terang Literasi. Buku ini dapat diunduh, dibaca dan didiskusikan bersama di Terang Literasi.",,2026,Terang Literasi,https://drive.google.com/uc?export=download&id=1uXUzkK0rIn5y8H-YswWJQ5d5t3gsi5mT,https://drive.google.com/uc?export=download&id=1TIjcbsdN-odgiG3c6uPpWsHj3_QLoNtv,,1,1,FALSE,FALSE,TRUE
5,Buku Bisnis Ala Nabi,Terang Literasi,Edukasi,PDF,Akses Terbuka,,,"Buku Buku Bisnis Ala Nabi adalah buku dengan kategori Edukasi. Buku ini ditulis oleh Terang Literasi. Buku ini dapat diunduh, dibaca dan didiskusikan bersama di Terang Literasi.",,2026,Terang Literasi,https://drive.google.com/uc?export=download&id=1cg3mUAwMYPDqmubOueENd2gu4UbldgNS,https://drive.google.com/uc?export=download&id=18uUOezmpNFQFYlSaG4vV0YPwiMf9qGbq,,1,1,FALSE,FALSE,TRUE
6,BUKU BUMI CINTA,Terang Literasi,Edukasi,PDF,Akses Terbuka,,,"Buku BUKU BUMI CINTA adalah buku dengan kategori Edukasi. Buku ini ditulis oleh Terang Literasi. Buku ini dapat diunduh, dibaca dan didiskusikan bersama di Terang Literasi.",,2026,Terang Literasi,https://drive.google.com/uc?export=download&id=1JAm4OlV4xbGUKIsPDwK7QlqDk8oxszEs,https://drive.google.com/uc?export=download&id=19VrM8KKKqxk61Xt49QnJnhmpUXp3p4FL,,1,1,FALSE,FALSE,TRUE
7,Dear allah,Terang Literasi,Edukasi,PDF,Akses Terbuka,,,"Buku Dear allah adalah buku dengan kategori Edukasi. Buku ini ditulis oleh Terang Literasi. Buku ini dapat diunduh, dibaca dan didiskusikan bersama di Terang Literasi.",,2026,Terang Literasi,https://drive.google.com/uc?export=download&id=1lqXsvZZq0niVfeGXlU0nO4g8-ygidwof,https://drive.google.com/uc?export=download&id=1v8mcGOtv13Kn4R2L1ePQir9pBpLsoJyD,,1,1,FALSE,FALSE,TRUE
8,DIABADIKAN QUR’AN DIPELIHARA BUMI,Terang Literasi,Edukasi,PDF,Akses Terbuka,,,"Buku DIABADIKAN QUR’AN DIPELIHARA BUMI adalah buku dengan kategori Edukasi. Buku ini ditulis oleh Terang Literasi. Buku ini dapat diunduh, dibaca dan didiskusikan bersama di Terang Literasi.",,2026,Terang Literasi,https://drive.google.com/uc?export=download&id=1fIr5NsbKdSGGnxxLO9sUtYcV4j3YwXkk,https://drive.google.com/uc?export=download&id=101E7J9UDnT1341P2UcrB4f768IkDob6T,,1,1,FALSE,FALSE,TRUE
9,Empat Puluh Hadits Seputar Tuntunan Bekerja,Terang Literasi,Edukasi,PDF,Akses Terbuka,,,"Buku Empat Puluh Hadits Seputar Tuntunan Bekerja adalah buku dengan kategori Edukasi. Buku ini ditulis oleh Terang Literasi. Buku ini dapat diunduh, dibaca dan didiskusikan bersama di Terang Literasi.",,2026,Terang Literasi,https://drive.google.com/uc?export=download&id=14kB4tZao0lqgSyYzT6BG2QbMLtUBvbqd,https://drive.google.com/uc?export=download&id=1leYXJMyAHBhYlC98-DSjORxuNlVDBz93,,1,1,FALSE,FALSE,TRUE
10,Salinan Fihi ma fihi,Terang Literasi,Edukasi,PDF,Akses Terbuka,,,"Buku Salinan Fihi ma fihi adalah buku dengan kategori Edukasi. Buku ini ditulis oleh Terang Literasi. Buku ini dapat diunduh, dibaca dan didiskusikan bersama di Terang Literasi.",,2026,Terang Literasi,https://drive.google.com/uc?export=download&id=11IUAEQzAtVeLQ6o3SR4vkBlEJePYxhPE,https://drive.google.com/uc?export=download&id=1HqaVFTOoSuAaVLqhIJtM5Ow9Nn6bzNQL,,1,1,FALSE,FALSE,TRUE
